ID_Stand1,Perimeter,Hectares
1703,1435.138949,5.914608953
1707,1038.27299,6.617585766
1711,633.3020023,0.78498092
1713,338.0784889,0.647164072
1718,655.5945475,1.637244119
1721,942.4863843,3.590329937
1722,504.5009386,1.069357093
1723,472.1287369,1.055305168
1727,1675.543365,7.571058349
1731,6141.444001,43.07181523
1736,2190.614467,22.77455164
1741,2209.51925,18.23183069
1746,1860.206085,10.1939697
1748,400.1021755,0.904737244
1750,1467.711616,10.06121599
1753,3045.780445,24.0989398
1758,3543.632928,26.00743937
1759,4063.849146,26.70885327
1761,990.0209771,3.23648757
1762,982.3214974,3.505757096
1763,360.6386517,0.60148623
1766,4459.583496,48.57966093
1767,4553.193815,47.71445038
1769,3979.623437,35.2526798
1770,4631.600433,41.48800365
1771,446.4361896,0.698802796
1772,8097.022203,44.10784833
1773,877.8857199,3.788761375
1774,5949.236071,42.27880748
1775,5340.925492,48.68541066
1776,1319.554308,4.853759357
1777,1157.676885,5.943290698
1778,9894.568301,23.36379977
1779,579.9560488,1.575272549
1780,1975.403216,5.718668873
1781,1126.135991,3.783357874
1782,605.5284608,1.308021296
1783,2041.108543,6.74158815
1784,1375.617159,6.922284463
1785,328.5322434,0.686476614
1786,338.7664224,0.705136422
1788,8448.692711,49.66117649
1796,2916.28464,33.66592606
1800,2363.805533,19.75248721
1801,521.2234062,1.057043456
1802,457.2108286,1.569714493
1803,1073.623717,1.256862435
1804,517.1079185,0.508376711
1805,417.370282,0.887425814
1806,1655.572274,8.821270606
1809,7988.568412,48.68230072
1810,5377.574884,26.01172257
1811,430.4249586,1.07518439
1812,2880.764748,16.79535525
1814,2764.586617,16.51286818
1819,4980.636237,48.28740974
1822,5068.703533,31.59149301
1823,609.637885,1.420446923
1824,3651.311262,8.66857788
1828,900.176026,1.562624424
1832,1441.829869,2.597743576
1833,391.7881922,0.888107626
1836,5036.975228,41.14546981
1838,4311.897154,37.33819195
1839,1379.610271,4.983865222
1840,864.5839003,3.390726871
1844,775.792009,1.446078896
1845,985.063196,3.942706294
1848,1165.205616,5.030821262
1850,1027.603066,4.183842212
1853,686.3874695,2.519486791
1854,331.2784262,0.573324976
1855,897.3726058,1.404849363
1857,1515.558955,4.771319286
1860,1311.701648,2.418591606
1861,515.9159959,1.46193926
1862,439.339857,0.585935188
1863,916.6437054,1.116356317
1864,402.0878133,1.03370504
1870,1883.907028,13.40375925
1874,989.3185173,4.673591569
1875,1129.417311,5.211469595
1878,4418.9116,23.52473132
1879,792.8434685,2.824822923
1880,317.5335142,0.62105163
1881,516.5362561,1.469192333
1882,670.0108178,2.195851883
1883,450.9344044,0.866618611
1884,1548.939188,10.4113069
1885,410.7845677,0.754951242
1886,2691.066344,9.351076099
1887,1816.65204,9.544338283
1890,1974.859393,10.76729188
1892,2418.1271,20.70739746
1893,460.5900529,1.273111718
1894,640.6078628,1.129729157
1895,673.8935035,1.622010462
1896,594.4111306,0.870018601
1898,603.0888148,1.784734942
1899,341.7355718,0.615039632
1900,500.5781246,0.636696466
1901,519.0843905,0.653972654
1902,512.4205931,1.376404941
1904,569.7218202,1.168247725
1905,389.9741084,0.70363753
1907,918.4077733,4.32375709
1909,3835.069388,43.1632185
1910,630.3676749,2.010065969
1911,5076.117421,36.75833364
1912,3295.007132,48.6572217
1914,1499.465917,6.006320011
1916,2125.482236,8.092403037
1918,757.6584524,3.374807405
1919,3498.876079,14.29873157
1920,2727.827965,11.57072674
1922,5049.013664,47.20673483
1925,1496.793188,7.462202385
1929,6455.561259,48.11967295
1935,1610.30066,7.766282565
1937,1458.109132,5.472351144
1938,1612.429988,7.306181494
1947,3641.766934,36.45960178
1953,1396.004225,6.205039571
1957,3382.228962,22.34046464
1958,624.2973501,1.821073469
1959,2827.105588,40.90860392
1960,2227.82969,14.39327379
1961,3507.505654,47.4626585
1962,3439.792759,48.01010183
1967,4225.054928,28.83902113
1968,5340.486961,34.8953348
1969,596.7342209,1.150215008
1970,1149.507591,2.797548268
1971,691.0294817,1.788858088
1972,2709.837519,8.381778368
1976,1154.269319,2.954691532
1977,373.0790429,0.63519081
1978,544.6590934,1.87533268
1980,1251.195284,5.703100479
1981,732.4579247,1.935161962
1982,3270.924563,23.16679314
1983,778.6958559,1.922392224
1984,863.6631614,1.599562365
1985,1375.489278,4.480543326
1988,1098.29795,2.087172513
1989,352.1494981,0.614198124
1990,5105.669265,45.31105258
1993,4604.186206,38.8739317
1994,1511.291903,2.49256148
1995,1208.972158,6.393691588
1996,1566.017987,6.186161732
1997,837.3607691,2.255081195
1998,635.1548528,1.789640885
2002,2168.725807,9.400919591
2003,1672.794208,10.42752239
2004,1572.350453,9.807881343
2005,372.1551253,0.601273491
2006,1030.103114,5.766578698
2007,647.7333269,1.401025176
2009,983.6111519,3.655675324
2010,685.7044606,1.159859776
2011,1718.199222,4.625929926
2012,561.2669914,0.631314584
2013,975.5168475,2.78409693
2014,371.8064188,0.685789913
2016,1548.27345,9.255551315
2017,389.9110222,0.788577348
2019,2064.482082,10.75079995
2020,335.3012501,0.59322214
2021,570.1939117,1.512443182
2023,454.7741412,1.29598139
2025,516.9857858,1.267045732
2026,3491.234228,32.85419237
2027,1734.472107,7.247377682
2032,2884.170667,13.97230724
2033,1417.021646,5.386598801
2034,7013.034198,39.1340232
2035,746.7154799,2.445798973
2037,648.4751119,1.100008433
2038,2010.526171,18.72733349
2041,2361.070322,19.51568193
2042,1317.534704,6.581769745
2043,1397.882737,5.400383707
2045,1875.361895,11.82568554
2048,6751.263595,48.82835672
2049,3948.364989,16.08732747
2050,673.3234547,1.073105825
2052,535.0852482,0.55909367
2053,2122.542867,9.75973504
2054,2863.704687,21.94829492
2055,1122.055933,3.807611733
2059,3067.564736,16.06305543
2061,985.4269226,2.552924447
2063,505.806278,1.262195322
2064,741.6414285,1.89208798
2065,403.7533024,0.998765949
2066,1982.727579,9.913634021
2072,1859.624928,6.915423299
2074,2264.049277,21.3780691
2075,4083.168153,47.24197004
2077,1563.599137,7.44910054
2078,2255.225299,12.31979542
2079,368.6369939,0.628606973
2082,3915.967534,24.56201122
2084,5094.745871,43.01706215
2085,966.1592019,3.532945899
2086,495.6175056,0.836219309
2087,645.3019947,2.664573799
2088,950.6693881,2.843281732
2089,3312.708085,30.61855911
2090,630.1033189,2.277758863
2091,1983.405582,16.61152459
2093,621.2180786,1.34420211
2094,2126.589487,12.75698424
2096,596.8667166,0.631783631
2097,583.2462225,1.227861002
2098,586.5215402,1.113440773
2100,2412.055902,8.448443011
2102,1815.738549,9.359248548
2103,1145.913461,6.004758409
2106,788.2542056,3.816132308
2107,568.68642,1.938562324
2108,293.8033531,0.511753671
2111,407.3967113,0.885965091
2112,2469.04849,7.877411297
2116,2947.820334,32.2610838
2117,2269.552059,14.64690166
2122,1470.37972,10.15595263
2126,1707.71346,7.618793504
2128,747.9441087,3.380792995
2131,2370.456796,18.6837455
