UG,Viz,UG_Viz,Length,Perimetro,Areacortada
74,1120,1120.74,235.830615461,917.3479602,7.869109099
74,3038,74.3038,609.343864793,1651.30187,53.144962448
75,-1,75.-1,1287.809968969,6210.316689,49.7249245
75,83,83.75,495.36821423,2615.226843,67.07952594
75,101,75.101,320.613686981,6210.316689,77.99930739
75,112,75.112,436.337718121,6210.316689,56.157287789
75,134,134.75,312.992635305,1483.823451,56.266092143
75,289,289.75,890.389949074,1420.077521,60.03297254
75,309,75.309,730.390332819,6210.316689,68.25300877
75,1108,1108.75,135.016561181,1297.553288,55.997778579
75,2178,75.2178,1354.66765679,6210.316689,92.73856018
75,3038,3038.75,246.729965329,4793.710452,96.57708285
77,-1,77.-1,1277.96505907,5443.982693,45.82364439
77,78,77.78,471.059738594,5443.982693,91.70633675
77,1039,77.1039,0.00424381959434,5443.982693,75.24985807
77,1043,77.1043,354.807258296,5443.982693,94.71295095
77,1067,77.1067,530.569833604,5443.982693,90.9732317
77,1075,1075.77,672.894508112,672.8945081,48.254231997
77,3000,77.3000,683.554796806,5443.982693,53.176218292
77,3001,77.3001,422.377239945,5443.982693,64.83312214
77,3037,77.3037,1030.7500152,5443.982693,91.30848342
78,-1,78.-1,678.267215555,6105.173579,45.88269236
78,77,77.78,471.059738594,5443.982693,91.70633675
78,1039,1039.78,1214.676755561,3955.251734,75.30890604
78,1081,1081.78,1832.15379701,3560.396315,57.55580901
78,1097,78.1097,335.062730266,6105.173579,47.632276372
78,3001,3001.78,1211.80272681,2521.668282,64.89217011
78,3037,3037.78,362.150615212,5470.723495,91.36753139
83,75,83.75,495.36821423,2615.226843,67.07952594
83,101,83.101,1219.53223346,2615.226843,45.62898433
83,112,83.112,900.326395463,2615.226843,23.786964729
88,97,97.88,775.699497176,4540.978539,52.181024137
88,4026_LS,4026_LS.88,617.882355108,6478.352573,25.211529597
95,-1,95.-1,878.8908119403,3053.075954,33.58468064
95,97,95.97,294.045554746,3053.075954,78.49324256
95,98,98.95,554.895175403,2506.340661,50.35720232
95,123,123.95,194.546236769,1958.689913,43.269342758
95,329,329.95,1130.698174891,2292.367249,46.12636003
97,-1,97.-1,2015.452448227,4540.978539,44.90856192
97,88,97.88,775.699497176,4540.978539,52.181024137
97,95,95.97,294.045554746,3053.075954,78.49324256
97,105,97.105,855.436866253,4540.978539,76.93085752
97,329,329.97,72.7652578151,2292.367249,57.45024131
97,4026_LS,97.4026_LS,527.578914714,4540.978539,62.8476293
98,-1,98.-1,903.014393337,2506.340661,16.77252168
98,95,98.95,554.895175403,2506.340661,50.35720232
98,2178,98.2178,1048.43109216,2506.340661,59.78615736
99,-1,99.-1,130.30595212,1965.921086,5.121282049
99,110,110.99,644.2524637625,1633.310697,15.015638339
99,313,313.99,643.603599885,4190.98803,32.078118229
99,1109,1109.99,547.759069784,2840.754797,16.549477969
101,-1,101.-1,205.6976845861,4989.861619,28.27438289
101,75,75.101,320.613686981,6210.316689,77.99930739
101,83,83.101,1219.53223346,2615.226843,45.62898433
101,104,104.101,150.4161141777,3215.934596,51.27056016
101,112,101.112,314.534135733,4989.861619,34.706746179
101,128,128.101,632.169563934,3221.313541,43.18860955
101,134,134.101,113.874097164,1483.823451,34.815550533
101,289,289.101,529.687571604,1420.077521,38.58243093
101,299,299.101,497.599396809,1343.793668,34.04258064
101,301,301.101,863.840155006,1744.997914,33.399523391
101,2178,2178.101,141.896979121,5789.849043,71.28801857
102,-1,102.-1,73.8108666946,368.8598069,0.745438196
102,103,102.103,168.238761156,368.8598069,7.947290401
102,140,140.102,126.810179028,1438.057965,8.072142866
103,-1,103.-1,27.5001306253,1742.101966,7.201852205
103,102,102.103,168.238761156,368.8598069,7.947290401
103,138,138.103,160.241077022,346.5347942,7.936030653
103,140,140.103,29.9916864275,1438.057965,14.528556875
103,311,103.311,183.253087227,1742.101966,22.960410135
103,1206,1206.103,171.220448171,3516.394458,38.312343895
103,1207,1207.103,277.074542311,950.8786102,10.912133555
103,1216,1216.103,31.3534364735,3572.584692,37.439478415
103,1232,103.1232,506.660279965,1742.101966,19.729123775
103,3002,103.3002,186.568516537,1742.101966,14.05111272
104,-1,104.-1,335.4715069094,3215.934596,22.99617727
104,101,104.101,150.4161141777,3215.934596,51.27056016
104,130,104.130,967.422760097,3215.934596,66.71649656
104,299,104.299,504.908406097,3215.934596,28.76437502
104,301,104.301,539.871893843,3215.934596,28.121317771
104,2178,104.2178,717.843914804,3215.934596,66.00981295
105,97,97.105,855.436866253,4540.978539,76.93085752
105,114,114.105,454.408527498,1306.127296,39.544015203
105,144,105.144,301.963837834,3266.363555,79.59721259
105,325,325.105,327.71745775,1150.31348,37.081584202
105,326,326.105,578.9443817481,1636.319923,38.900334985
105,329,329.105,29.9419424322,2292.367249,44.56397499
105,4026_LS,105.4026_LS,717.950541746,3266.363555,49.96136298
110,-1,110.-1,91.0477747128,1633.310697,9.89435629
110,99,110.99,644.2524637625,1633.310697,15.015638339
110,309,110.309,482.189443454,1633.310697,28.42244056
110,312,110.312,125.897777008,1633.310697,24.32171349
110,313,110.313,162.558982294,1633.310697,36.85119247
110,1109,110.1109,127.364255266,1633.310697,21.32255221
112,75,75.112,436.337718121,6210.316689,56.157287789
112,83,83.112,900.326395463,2615.226843,23.786964729
112,101,101.112,314.534135733,4989.861619,34.706746179
112,134,134.112,101.970922784,1483.823451,12.973530932
114,105,114.105,454.408527498,1306.127296,39.544015203
114,121,114.121,403.537910385,1306.127296,12.563258504
114,144,114.144,8.87219886784,1306.127296,55.096636593
114,329,114.329,439.308659425,1306.127296,20.063398993
119,121,121.119,432.987036872,1321.75687,34.232519721
119,123,123.119,737.234830728,1958.689913,38.875642938
119,144,119.144,1471.875829506,3516.19485,76.76589781
119,151,119.151,443.116310466,3516.19485,67.21141434
119,329,329.119,430.980842558,2292.367249,41.73266021
121,114,114.121,403.537910385,1306.127296,12.563258504
121,119,121.119,432.987036872,1321.75687,34.232519721
121,144,121.144,434.531688448,1321.75687,52.616455891
121,329,121.329,50.7002344631,1321.75687,17.583218291
123,-1,123.-1,532.293819164,1958.689913,9.684662118
123,95,123.95,194.546236769,1958.689913,43.269342758
123,119,123.119,737.234830728,1958.689913,38.875642938
123,151,123.151,356.642888827,1958.689913,47.705095638
123,329,123.329,137.972137771,1958.689913,22.226341508
128,-1,128.-1,2507.285153632,3221.313541,14.91422666
128,101,128.101,632.169563934,3221.313541,43.18860955
128,3141,3141.128,81.8588232588,3553.522618,51.34059765
130,-1,130.-1,1762.148429566,5021.631929,43.72031929
130,104,104.130,967.422760097,3215.934596,66.71649656
130,147,147.130,1041.74671235,1646.377312,52.722487364
130,149,149.130,195.787286213,1368.153283,49.33033369
130,151,130.151,372.65808452,5021.631929,81.74075281
130,158,158.130,375.242446815,4061.978236,66.92163587
130,322,322.130,306.626209758,1390.527819,50.084202463
134,-1,134.-1,409.764461488,1483.823451,6.541167643
134,75,134.75,312.992635305,1483.823451,56.266092143
134,101,134.101,113.874097164,1483.823451,34.815550533
134,112,134.112,101.970922784,1483.823451,12.973530932
134,309,134.309,545.221334034,1483.823451,25.069251913
138,103,138.103,160.241077022,346.5347942,7.936030653
138,1207,138.1207,86.1308966405,346.5347942,4.444459798
138,1216,138.1216,100.162820525,346.5347942,30.971804658
139,-1,139.-1,719.191337499,1863.501038,9.394067937
139,309,139.309,414.009197808,1863.501038,27.922152207
139,312,139.312,730.30050256,1863.501038,23.821425137
140,-1,140.-1,890.3492141645,1438.057965,7.32670467
140,102,140.102,126.810179028,1438.057965,8.072142866
140,103,140.103,29.9916864275,1438.057965,14.528556875
140,146,140.146,127.269166991,1438.057965,15.711052542
140,1232,140.1232,263.637718573,1438.057965,19.85397624
143,741,741.143,288.438644914,845.7046615,4.312023962
143,744,143.744,196.445429806,680.5155459,5.484469029
143,745,143.745,193.556280583,680.5155459,5.474710662
143,754,754.143,2.07519057995,962.8065736,3.976376166
144,-1,144.-1,25.7679301737,4669.213911,47.57491699
144,105,105.144,301.963837834,3266.363555,79.59721259
144,114,114.144,8.87219886784,1306.127296,55.096636593
144,119,119.144,1471.875829506,3516.19485,76.76589781
144,121,121.144,434.531688448,1321.75687,52.616455891
144,151,151.144,289.418334312,3997.923535,85.59535051
144,320,320.144,1228.32637041,5723.000747,96.23514762
144,4022_LS,4022_LS.144,292.4369233218,11273.77351,59.23173824
144,4026_LS,4026_LS.144,616.020798587,6478.352573,65.51398437
146,-1,146.-1,979.9824765237,1384.522048,8.384347872
146,140,140.146,127.269166991,1438.057965,15.711052542
146,1184,1184.146,166.489434358,1048.452985,11.678601225
146,1217,1217.146,110.780970312,731.1745959,11.544989112
147,130,147.130,1041.74671235,1646.377312,52.722487364
147,151,147.151,241.035181282,1646.377312,47.022601594
147,322,147.322,363.595417973,1646.377312,15.366051247
148,-1,148.-1,430.1746413827,996.3907611,1.503967902
148,157,157.148,195.8303780671,1310.218,7.05423796
148,768,148.768,6.35990719695,996.3907611,8.458670233
148,1272,1272.148,364.025834415,1573.750082,7.976807536
149,-1,149.-1,517.256595188,1368.153283,5.6100144
149,130,149.130,195.787286213,1368.153283,49.33033369
149,158,149.158,604.628649759,1368.153283,28.81133098
149,2173,149.2173,50.4807518223,1368.153283,54.38347019
151,-1,151.-1,73.7494925557,3997.923535,38.02043352
151,119,119.151,443.116310466,3516.19485,67.21141434
151,123,123.151,356.642888827,1958.689913,47.705095638
151,130,130.151,372.65808452,5021.631929,81.74075281
151,144,151.144,289.418334312,3997.923535,85.59535051
151,147,147.151,241.035181282,1646.377312,47.022601594
151,320,151.320,1059.103210744,3997.923535,86.68066415
151,322,322.151,430.155112635,1390.527819,44.384316693
151,339,339.151,732.044919736,2628.684328,51.05703262
157,-1,157.-1,495.006448242,1310.218,5.550270058
157,148,157.148,195.8303780671,1310.218,7.05423796
157,768,157.768,312.032016063,1310.218,12.504972389
157,769,157.769,307.349157196,1310.218,6.249250996
158,130,158.130,375.242446815,4061.978236,66.92163587
158,149,149.158,604.628649759,1368.153283,28.81133098
158,161,158.161,1293.684009927,4061.978236,33.28454693
158,176,176.158,483.535863192,1563.301823,33.65620782
158,322,322.158,138.961740656,1390.527819,29.565199753
158,333,333.158,178.330390599,1558.198131,32.489406695
158,2173,2173.158,877.484342489,3892.573541,71.97477237
158,3003,3003.158,110.110792077,1749.494131,29.155528017
159,-1,159.-1,290.517945445,1392.755919,6.806442602
159,312,159.312,692.606203684,1392.755919,21.233799802
159,317,159.317,86.4902986364,1392.755919,13.310516319
159,2171,159.2171,323.141470997,1392.755919,22.840375032
161,158,158.161,1293.684009927,4061.978236,33.28454693
161,322,322.161,103.046352067,1390.527819,16.447113523
161,339,339.161,124.042652127,2628.684328,23.11982945
161,3003,3003.161,692.193583974,1749.494131,16.037441787
162,-1,162.-1,892.745374652,1990.714187,11.76288824
162,1235,1235.162,312.45368156,564.8995968,13.070607759
162,1240,162.1240,576.253805987,1990.714187,61.40550987
162,1256,162.1256,89.721704391,1990.714187,14.913506444
162,1258,1258.162,119.539620183,870.9047963,14.798256228
166,179,166.179,275.233768721,953.7953959,22.471594081
166,320,166.320,367.280548917,953.7953959,53.815319601
166,321,321.166,115.946797883,1504.240187,15.954763861
166,4022_LS,166.4022_LS,195.334280367,953.7953959,16.811910221
167,-1,167.-1,541.711255698,1140.98585,4.117907306
167,1237,1237.167,36.3669026032,500.0692465,4.887846988
167,1266,167.1266,441.736118906,1140.98585,18.646812026
167,1270,1270.167,121.171572427,3558.965333,24.267362546
172,-1,172.-1,691.029812283,1325.786191,5.728414106
172,190,172.190,176.142974994,1325.786191,20.472796916
172,3004,172.3004,458.613403432,1325.786191,20.452001276
173,-1,173.-1,658.986832677,1712.603143,12.12635724
173,181,181.173,343.749851042,1137.6384,17.922496383
173,317,317.173,125.801312777,1276.217616,18.630430957
173,1240,1240.173,339.686019031,4665.376481,61.76897887
173,2171,173.2171,179.843810812,1712.603143,28.16028967
173,3004,173.3004,64.5353171341,1712.603143,26.84994441
176,158,176.158,483.535863192,1563.301823,33.65620782
176,333,176.333,289.742798269,1563.301823,19.742981355
176,339,176.339,76.2125320131,1563.301823,23.49149034
176,341,176.341,351.588522143,1563.301823,32.7091639
176,2173,176.2173,362.222107203,1563.301823,59.22834703
177,185,177.185,1761.85190983,3283.751222,29.226478175
177,2170,2170.177,699.557091216,3707.654598,68.47302524
177,3004,177.3004,446.920118988,3283.751222,36.16929327
177,3005,177.3005,375.422102437,3283.751222,52.0160805
179,166,166.179,275.233768721,953.7953959,22.471594081
179,180,180.179,200.109062959,1392.728276,25.142000298
179,186,179.186,638.117278582,1916.262222,51.872375
179,198,179.198,148.493592584,1916.262222,27.4195178
179,321,321.179,79.816151490241,1504.240187,28.11618
179,4022_LS,4022_LS.179,574.49236793,11273.77351,28.97332636
180,179,180.179,200.109062959,1392.728276,25.142000298
180,183,180.183,690.309145859,1392.728276,36.607292738
180,186,180.186,248.820342004,1392.728276,42.381365078
180,321,321.180,253.489725621,1504.240187,18.625170078
181,-1,181.-1,5.91443813883,1137.6384,5.796139143
181,173,181.173,343.749851042,1137.6384,17.922496383
181,182,181.182,227.6499477578,1137.6384,11.006022525
181,187,187.181,189.213116731,674.3448965,6.989874521
181,315,315.181,206.613939244,488.7666034,6.890112537
181,1240,181.1240,164.4971068319,1137.6384,55.438760773
182,181,181.182,227.6499477578,1137.6384,11.006022525
182,187,187.182,94.2258849958,674.3448965,6.40361876
182,315,315.182,282.15266415,488.7666034,6.303856776
182,1240,182.1240,467.998829942,1477.106479,54.852505012
182,3047,182.3047,405.079152535,1477.106479,50.907948492
183,-1,183.-1,84.1833563987,4405.706883,28.78179755
183,180,180.183,690.309145859,1392.728276,36.607292738
183,186,183.186,1301.976933589,4405.706883,63.33766744
183,320,183.320,1265.94128616,4405.706883,77.44202818
183,321,321.183,441.515520307,1504.240187,39.58147244
183,340,183.340,388.172403179,4405.706883,35.836325926
183,343,343.183,233.608237525,1215.925644,36.421052306
185,177,177.185,1761.85190983,3283.751222,29.226478175
185,190,185.190,84.6718552278,3747.596188,22.525154885
185,3004,185.3004,15.6084980749,3747.596188,22.504359245
185,3005,185.3005,1012.90438892,3747.596188,38.351146475
185,3046,185.3046,872.559536306,3747.596188,21.378402615
186,-1,186.-1,290.575803452,5740.0093,34.55586989
186,179,179.186,638.117278582,1916.262222,51.872375
186,180,180.186,248.820342004,1392.728276,42.381365078
186,183,183.186,1301.976933589,4405.706883,63.33766744
186,198,198.186,540.565806465,2270.421439,44.65888258
186,208,208.186,863.890253651,2680.780059,47.53344042
186,4022_LS,4022_LS.186,1856.06288262,11273.77351,46.21269114
187,-1,187.-1,276.759664831,674.3448965,1.193735378
187,181,187.181,189.213116731,674.3448965,6.989874521
187,182,187.182,94.2258849958,674.3448965,6.40361876
187,191,191.187,59.9338722567,774.7884141,2.711080722
187,354,354.187,36.7801112912,1329.380428,9.610016579
187,3047,187.3047,17.4322464151,674.3448965,46.891800488
190,-1,190.-1,522.494219742,2059.183848,14.74438281
190,172,172.190,176.142974994,1325.786191,20.472796916
190,185,185.190,84.6718552278,3747.596188,22.525154885
190,191,191.190,263.385945699,774.7884141,16.261728154
190,352,352.190,544.6573369683,1775.821692,28.58277903
190,353,353.190,300.718863945,991.5898869,21.220086748
190,1238,190.1238,149.7679903117,2059.183848,56.00489402
190,3004,190.3004,17.3446612303,2059.183848,29.46796998
191,-1,191.-1,318.484737435,774.7884141,1.517345344
191,187,191.187,59.9338722567,774.7884141,2.711080722
191,190,191.190,263.385945699,774.7884141,16.261728154
191,354,191.354,34.1251736201,774.7884141,9.933626545
191,1238,191.1238,98.8586851216,774.7884141,42.777856554
198,179,179.198,148.493592584,1916.262222,27.4195178
198,186,198.186,540.565806465,2270.421439,44.65888258
198,4022_LS,4022_LS.198,1581.36204016,11273.77351,21.75983394
208,-1,208.-1,1214.27420680207,2680.780059,12.97757053
208,186,208.186,863.890253651,2680.780059,47.53344042
208,4022_LS,4022_LS.208,556.787707719,11273.77351,24.63439178
208,4023_LS,4023_LS.208,45.8278912632,110.1248951,13.000861552
209,3042,209.3042,509.338649855,509.3386499,32.7999974
212,219,219.212,130.632508055,1820.440069,15.782136492
212,351,351.212,491.189526104,1443.737467,17.926744132
212,370,212.370,361.557889384,1467.868004,28.246055142
212,2172,2172.212,350.473666133,3856.61496,53.948810672
212,3005,212.3005,134.014414703,1467.868004,38.306167012
216,-1,216.-1,840.246225584,2212.283739,19.57218252
216,1242,216.1242,361.108735516,2212.283739,66.37562253
216,1245,216.1245,261.295535825,2212.283739,69.44118425
216,3041,216.3041,749.63324184,2212.283739,41.79874956
217,673,217.673,347.604677419,1206.184244,55.455056536
217,1246,217.1246,482.529166042,1206.184244,26.864778396
217,3042,217.3042,376.0504008182,1206.184244,36.732455926
219,-1,219.-1,345.946983629,1820.440069,8.04634388
219,212,219.212,130.632508055,1820.440069,15.782136492
219,370,219.370,613.817389827,1820.440069,28.55660641
219,378,219.378,516.198521828,1820.440069,13.779821937
219,2172,219.2172,112.900555345,1820.440069,54.25936194
219,3142,219.3142,100.9441101575,1820.440069,49.59438848
224,1245,224.1245,472.699127077,1302.017611,56.40308015
224,3006,224.3006,829.3184836068,1302.017611,46.31843096
229,-1,229.-1,459.980441127,1627.465531,7.725706674
229,233,233.229,164.101173623,1712.916032,14.935517899
229,3142,3142.229,361.378320454,6563.812427,49.273751274
229,4024_LS,229.4024_LS,642.0055954431,1627.465531,13.116941277
233,229,233.229,164.101173623,1712.916032,14.935517899
233,380,380.233,549.559028753,2070.366524,20.506771915
233,3142,3142.233,135.836992589,6563.812427,48.757855825
233,4024_LS,233.4024_LS,863.41883662,1712.916032,12.601045828
236,-1,236.-1,252.803308472,390.9714067,0.767598405
236,370,236.370,138.168098189,390.9714067,21.277860935
241,-1,241.-1,213.399758758,464.5460769,1.154844447
241,242,241.242,251.1463181937,464.5460769,42.299802327
242,-1,242.-1,1059.47735689,4453.79322,41.14495788
242,241,241.242,251.1463181937,464.5460769,42.299802327
242,244,244.242,312.7722215761,749.1824706,44.21431171
242,256,256.242,320.524922699,1405.198465,48.952279215
242,262,262.242,1026.8902877729,2865.096526,52.52185242
242,3006,3006.242,802.548297399,4599.154217,80.92931042
242,3007,3007.242,244.935365636,2726.253067,48.536803949
242,3008,3008.242,435.498449702,1616.717149,52.05633775
244,-1,244.-1,436.410248982,749.1824706,3.06935383
244,242,244.242,312.7722215761,749.1824706,44.21431171
252,261,261.252,1025.03020985,3524.358204,30.958926133
252,3211,3211.252,137.030905547,4125.935168,31.100346523
256,242,256.242,320.524922699,1405.198465,48.952279215
256,3006,256.3006,510.850739892,1405.198465,47.591673875
256,3007,256.3007,573.822802227,1405.198465,15.199167404
261,-1,261.-1,105.099542332,3524.358204,26.62095044
261,252,261.252,1025.03020985,3524.358204,30.958926133
261,392,392.261,231.183015641,3597.007219,35.448841498
261,3204,261.3204,554.07156349,3524.358204,29.215893021
261,3207,261.3207,879.725561027,3524.358204,46.71447667
261,3211,261.3211,729.248311651,3524.358204,53.38332127
262,-1,262.-1,653.440115586,2865.096526,11.37689454
262,242,262.242,1026.8902877729,2865.096526,52.52185242
262,389,389.262,32.8343774422,2211.759737,20.131110756
262,3007,262.3007,882.211906506,2865.096526,18.768740609
262,3008,3008.262,269.719838674,1616.717149,22.28827441
263,-1,263.-1,270.4448938478,367.3614475,0.606656615
263,3008,3008.263,96.9165536322,1616.717149,11.518036485
267,21,267.21,265.85796081,404.6748737,35.351087902
267,31,267.31,138.816912865,404.6748737,29.723672762
269,-1,269.-1,1257.126145078,2192.183868,17.25432122
269,31,269.31,375.317324171,2192.183868,46.00467037
269,37,37.269,55.6805290569,2176.897511,29.31705784
269,275,275.269,504.05986972232,2586.659986,36.50067921
271,-1,271.-1,79.8675995792,1592.390306,7.184080655
271,19,271.19,57.4327379531,1592.390306,26.539698855
271,37,271.37,214.569230477,1592.390306,19.246817275
271,42,271.42,590.263430975,1592.390306,23.577812565
271,45,271.45,388.844026768,1592.390306,28.963525675
271,58,58.271,78.435603144,1377.487485,14.036162011
271,272,271.272,182.9776775924,1592.390306,16.403072353
272,19,272.19,606.230570334,1329.262622,28.574609898
272,33,33.272,295.488044393,2440.314616,37.616233398
272,42,272.42,244.566329895,1329.262622,25.612723608
272,271,271.272,182.9776775924,1592.390306,16.403072353
275,-1,275.-1,1638.000492303,2586.659986,19.24635799
275,19,275.19,444.599624448,2586.659986,38.60197619
275,269,275.269,504.05986972232,2586.659986,36.50067921
279,-1,279.-1,80.8450284044,2230.230743,14.14869982
279,33,33.279,136.321958679,2440.314616,42.54594152
279,51,51.279,429.300933925,1250.760928,23.127061923
279,297,297.279,783.683487018,2400.396187,28.54091315
279,2178,2178.279,800.079335436,5789.849043,57.1623355
289,75,289.75,890.389949074,1420.077521,60.03297254
289,101,289.101,529.687571604,1420.077521,38.58243093
297,-1,297.-1,572.90132541,2400.396187,14.39221333
297,33,33.297,149.580308898,2440.314616,42.78945503
297,42,297.42,489.8021474167,2400.396187,30.78594524
297,58,58.297,404.428918396,1377.487485,21.244294686
297,279,297.279,783.683487018,2400.396187,28.54091315
299,101,299.101,497.599396809,1343.793668,34.04258064
299,104,104.299,504.908406097,3215.934596,28.76437502
299,301,299.301,341.28586517,1343.793668,10.893338251
301,101,301.101,863.840155006,1744.997914,33.399523391
301,104,104.301,539.871893843,3215.934596,28.121317771
301,299,299.301,341.28586517,1343.793668,10.893338251
309,-1,309.-1,501.501831118,3050.688812,18.52808427
309,75,75.309,730.390332819,6210.316689,68.25300877
309,110,110.309,482.189443454,1633.310697,28.42244056
309,134,134.309,545.221334034,1483.823451,25.069251913
309,139,139.309,414.009197808,1863.501038,27.922152207
309,312,312.309,377.376672433,3286.3851,32.95544147
